samples,svm_tr,svm_tt,nn_tr,nn_tt
100,73.65,72.38,55.72,52.02
200,77.46,77.88,61.98,63.9
300,79.97,80.77,66.51,65.42
400,82.48,83.47,50.29,51.03
500,84.24,85.09,72.52,73.32
600,85.7,86.3,74.64,74.45
700,86.35,87.08,84.35,85.71
800,87.19,87.53,81.79,84.58
900,86.99,87.58,87.07,88.74
1000,87.39,87.94,84.48,86.75
1100,87.16,87.58,86.59,88.91
1200,87.8,87.97,88.03,90.05
1300,88.14,88.32,86.98,89.09
1400,88.75,89.0,87.79,90.7
1500,89.31,89.55,89.03,91.84
1600,89.53,89.86,88.34,91.03
1700,89.92,90.16,88.39,90.76
1800,90.45,90.54,89.31,91.88
1900,90.19,90.3,88.9,91.53
2000,90.3,90.27,89.1,91.22
2100,90.21,90.17,89.0,90.95
2200,90.4,90.27,89.5,92.11
2300,90.44,90.51,89.38,91.62
2400,90.66,90.52,90.05,92.41
2500,91.06,90.57,90.72,92.71
2600,91.18,90.63,90.13,92.72
2700,91.32,90.66,90.03,91.53
2800,91.48,90.64,90.63,92.85
2900,91.72,90.85,90.52,92.34
3000,91.95,91.1,90.43,92.53
3100,92.09,91.23,90.71,92.56
3200,92.09,91.19,91.24,93.33
3300,92.26,91.35,90.42,92.66
3400,92.3,91.34,90.58,92.49
3500,92.55,91.4,90.35,92.36
3600,92.64,91.44,91.3,93.46
3700,92.81,91.66,90.85,92.92
3800,92.94,91.6,91.41,93.25
3900,92.96,91.34,91.32,93.06
